JoinField,PresDem,PresRep,PresTot,tot_vote_2018_weighted,,board,portion,
CITY OF CHICAGO:Ward 46 Precinct 04,1203,189,1427,625.9999926,CITY OF CHICAGO:WARD 46 PRECINCT 04,CITY OF CHICAGO,0.520365746,626
CITY OF CHICAGO:Ward 18 Precinct 10,937,86,1043,625.9189613,CITY OF CHICAGO:WARD 18 PRECINCT 10,CITY OF CHICAGO,0.66800316,626
CITY OF CHICAGO:Ward 47 Precinct 18,1090,98,1211,624.4343879,CITY OF CHICAGO:WARD 47 PRECINCT 18,CITY OF CHICAGO,0.572875585,624
CITY OF CHICAGO:Ward 21 Precinct 28,781,51,839,623.0970313,CITY OF CHICAGO:WARD 21 PRECINCT 28,CITY OF CHICAGO,0.797819502,623
CITY OF CHICAGO:Ward 01 Precinct 07,1041,117,1188,622.9892449,CITY OF CHICAGO:WARD 01 PRECINCT 07,CITY OF CHICAGO,0.598452685,623
CITY OF CHICAGO:Ward 17 Precinct 18,811,36,864,621.8239877,CITY OF CHICAGO:WARD 17 PRECINCT 18,CITY OF CHICAGO,0.766737346,622
CITY OF CHICAGO:Ward 35 Precinct 12,1235,129,1401,620.0698164,CITY OF CHICAGO:WARD 35 PRECINCT 12,CITY OF CHICAGO,0.502080823,620
CITY OF CHICAGO:Ward 18 Precinct 06,904,58,981,619.8606999,CITY OF CHICAGO:WARD 18 PRECINCT 06,CITY OF CHICAGO,0.685686615,620
CITY OF CHICAGO:Ward 11 Precinct 14,739,450,1215,612.9999778,CITY OF CHICAGO:WARD 11 PRECINCT 14,CITY OF CHICAGO,0.829499293,613
CITY OF CHICAGO:Ward 49 Precinct 16,1099,135,1289,606.331816,CITY OF CHICAGO:WARD 49 PRECINCT 16,CITY OF CHICAGO,0.551712298,606
CITY OF CHICAGO:Ward 06 Precinct 23,862,52,925,605.8571453,CITY OF CHICAGO:WARD 06 PRECINCT 23,CITY OF CHICAGO,0.702850517,606
CITY OF CHICAGO:Ward 05 Precinct 24,774,121,914,605.7511401,CITY OF CHICAGO:WARD 05 PRECINCT 24,CITY OF CHICAGO,0.782624212,606
CITY OF CHICAGO:Ward 32 Precinct 23,861,173,1063,602.63776,CITY OF CHICAGO:WARD 32 PRECINCT 23,CITY OF CHICAGO,0.699927712,603
CITY OF CHICAGO:Ward 18 Precinct 03,375,28,407,601.1014549,CITY OF CHICAGO:WARD 18 PRECINCT 03,CITY OF CHICAGO,1.602937213,601
CITY OF CHICAGO:Ward 21 Precinct 27,856,75,947,600.9801035,CITY OF CHICAGO:WARD 21 PRECINCT 27,CITY OF CHICAGO,0.70207956,601
CITY OF CHICAGO:Ward 07 Precinct 12,779,42,841,600.4961724,CITY OF CHICAGO:WARD 07 PRECINCT 12,CITY OF CHICAGO,0.770855164,600
CITY OF CHICAGO:Ward 19 Precinct 02,832,159,1001,597.8847111,CITY OF CHICAGO:WARD 19 PRECINCT 02,CITY OF CHICAGO,0.718611432,598
CITY OF CHICAGO:Ward 44 Precinct 21,1532,173,1734,597.8711541,CITY OF CHICAGO:WARD 44 PRECINCT 21,CITY OF CHICAGO,0.390255323,598
CITY OF CHICAGO:Ward 49 Precinct 09,1189,164,1400,596.0781867,CITY OF CHICAGO:WARD 49 PRECINCT 09,CITY OF CHICAGO,0.501327323,596
CITY OF CHICAGO:Ward 47 Precinct 24,1232,172,1429,594.9146621,CITY OF CHICAGO:WARD 47 PRECINCT 24,CITY OF CHICAGO,0.482885278,595
CITY OF CHICAGO:Ward 21 Precinct 07,912,81,1006,594.6098635,CITY OF CHICAGO:WARD 21 PRECINCT 07,CITY OF CHICAGO,0.651984499,595
CITY OF CHICAGO:Ward 21 Precinct 21,887,60,965,592.7525362,CITY OF CHICAGO:WARD 21 PRECINCT 21,CITY OF CHICAGO,0.66826667,593
CITY OF CHICAGO:Ward 21 Precinct 23,757,68,834,591.7483344,CITY OF CHICAGO:WARD 21 PRECINCT 23,CITY OF CHICAGO,0.781701895,592
CITY OF CHICAGO:Ward 27 Precinct 18,899,105,1024,590.2064976,CITY OF CHICAGO:WARD 27 PRECINCT 18,CITY OF CHICAGO,0.656514458,590
CITY OF CHICAGO:Ward 43 Precinct 07,1302,234,1572,587.1370557,CITY OF CHICAGO:WARD 43 PRECINCT 07,CITY OF CHICAGO,0.45095012,587
CITY OF CHICAGO:Ward 48 Precinct 24,1025,284,1356,587.0000165,CITY OF CHICAGO:WARD 48 PRECINCT 24,CITY OF CHICAGO,0.572682943,587
CITY OF CHICAGO:Ward 46 Precinct 11,1167,174,1372,586.2546846,CITY OF CHICAGO:WARD 46 PRECINCT 11,CITY OF CHICAGO,0.502360484,586
CITY OF CHICAGO:Ward 01 Precinct 03,1035,114,1186,584.9748094,CITY OF CHICAGO:WARD 01 PRECINCT 03,CITY OF CHICAGO,0.565193053,585
CITY OF CHICAGO:Ward 08 Precinct 08,945,45,1004,583.9999774,CITY OF CHICAGO:WARD 08 PRECINCT 08,CITY OF CHICAGO,0.617989394,584
CITY OF CHICAGO:Ward 40 Precinct 03,770,188,987,582.6580217,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO,0.756698729,583
CITY OF CHICAGO:Ward 08 Precinct 10,820,88,927,581.8048049,CITY OF CHICAGO:WARD 08 PRECINCT 10,CITY OF CHICAGO,0.709518055,582
CITY OF CHICAGO:Ward 35 Precinct 16,1217,185,1442,580.8824381,CITY OF CHICAGO:WARD 35 PRECINCT 16,CITY OF CHICAGO,0.477306851,581
CITY OF CHICAGO:Ward 18 Precinct 01,804,52,864,578.6101041,CITY OF CHICAGO:WARD 18 PRECINCT 01,CITY OF CHICAGO,0.719664309,579
CITY OF CHICAGO:Ward 40 Precinct 22,1189,162,1384,578.1678101,CITY OF CHICAGO:WARD 40 PRECINCT 22,CITY OF CHICAGO,0.486263928,578
CITY OF CHICAGO:Ward 19 Precinct 14,736,183,932,578.0638811,CITY OF CHICAGO:WARD 19 PRECINCT 14,CITY OF CHICAGO,0.785412882,578
