2024_ID,Status,Transitions,new_id
CITY OF CHICAGO:Ward 41 Precinct 28,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 7.49}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 28,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 4.64}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 28,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 3.68}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 29,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 99.98}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 30,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 30', 'pct': 99.96}",CITY OF CHICAGO:Ward 41 Precinct 30
CITY OF CHICAGO:Ward 41 Precinct 31,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 31', 'pct': 99.98}",CITY OF CHICAGO:Ward 41 Precinct 31
CITY OF CHICAGO:Ward 44 Precinct 19,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 43.55}",CITY OF CHICAGO:Ward 46 Precinct 10
CITY OF CHICAGO:Ward 44 Precinct 19,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 24.9}",CITY OF CHICAGO:Ward 46 Precinct 08
CITY OF CHICAGO:Ward 44 Precinct 19,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 23.73}",CITY OF CHICAGO:Ward 46 Precinct 08
CITY OF CHICAGO:Ward 44 Precinct 19,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 5.31}",CITY OF CHICAGO:Ward 46 Precinct 08
CITY OF CHICAGO:Ward 44 Precinct 19,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 2.51}",CITY OF CHICAGO:Ward 46 Precinct 08
CITY OF CHICAGO:Ward 45 Precinct 01,SPLIT,"{'new_id': 'COOK:8200001', 'pct': 52.7}",COOK:8200001
CITY OF CHICAGO:Ward 45 Precinct 01,SPLIT,"{'new_id': 'COOK:8200002', 'pct': 46.87}",COOK:8200002
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 21.37}",CITY OF CHICAGO:Ward 45 Precinct 03
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'COOK:8200026', 'pct': 21.18}",COOK:8200026
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 13.05}",CITY OF CHICAGO:Ward 45 Precinct 03
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'COOK:8200006', 'pct': 11.8}",COOK:8200006
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 11.8}",CITY OF CHICAGO:Ward 45 Precinct 03
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 7.39}",CITY OF CHICAGO:Ward 45 Precinct 03
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'COOK:8200026', 'pct': 7.39}",COOK:8200026
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 2.86}",CITY OF CHICAGO:Ward 45 Precinct 03
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 2.86}",CITY OF CHICAGO:Ward 45 Precinct 03
CITY OF CHICAGO:Ward 45 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 46.92}",CITY OF CHICAGO:Ward 45 Precinct 05
CITY OF CHICAGO:Ward 45 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 28.64}",CITY OF CHICAGO:Ward 45 Precinct 05
CITY OF CHICAGO:Ward 45 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 10.58}",CITY OF CHICAGO:Ward 45 Precinct 05
CITY OF CHICAGO:Ward 45 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 7.03}",CITY OF CHICAGO:Ward 45 Precinct 05
CITY OF CHICAGO:Ward 45 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 4.11}",CITY OF CHICAGO:Ward 45 Precinct 05
CITY OF CHICAGO:Ward 46 Precinct 03,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 99.92}",CITY OF CHICAGO:Ward 46 Precinct 06
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 05', 'pct': 39.64}",CITY OF CHICAGO:Ward 46 Precinct 05
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 05', 'pct': 38.6}",CITY OF CHICAGO:Ward 46 Precinct 05
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 9.53}",CITY OF CHICAGO:Ward 46 Precinct 06
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 12', 'pct': 3.13}",CITY OF CHICAGO:Ward 46 Precinct 12
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 2.37}",CITY OF CHICAGO:Ward 46 Precinct 06
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 05', 'pct': 2.14}",CITY OF CHICAGO:Ward 46 Precinct 05
CITY OF CHICAGO:Ward 46 Precinct 06,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 99.9}",CITY OF CHICAGO:Ward 46 Precinct 06
CITY OF CHICAGO:Ward 46 Precinct 07,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 07', 'pct': 99.92}",CITY OF CHICAGO:Ward 46 Precinct 07
CITY OF CHICAGO:Ward 46 Precinct 08,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 99.98}",CITY OF CHICAGO:Ward 46 Precinct 08
